year,month,positive
2000,1,0.5416244939271255
2000,2,0.5372052046625102
2000,3,0.5377884859244231
2000,4,0.5364773319437207
2000,5,0.5415160123966942
2000,6,0.5326442496401936
2000,7,0.5379563961124245
2000,8,0.5394369937591289
2000,9,0.5356480909427901
2000,10,0.5344408427876823
2000,11,0.5433933744804131
2000,12,0.5314469372321654
2001,1,0.5394260599793175
2001,2,0.5355580640609566
2001,3,0.5355223489317079
2001,4,0.5383134130146082
2001,5,0.5436675940486271
2001,6,0.5377262944676542
2001,7,0.5431613639244518
2001,8,0.5410835794068558
2001,9,0.5294684825840665
2001,10,0.5383116159928722
2001,11,0.5314854048964218
2001,12,0.5372869318181818
2002,1,0.5383813611281423
2002,2,0.5396137169885692
2002,3,0.5350138440239963
2002,4,0.5346497764530551
2002,5,0.5470282048178187
2002,6,0.543515567541064
2002,7,0.5387113880418931
2002,8,0.5359160613397902
2002,9,0.5392932163598171
2002,10,0.5355973813420621
2002,11,0.5451692307692307
2002,12,0.5400024503798089
2003,1,0.5368740704015865
2003,2,0.5363941018766756
2003,3,0.53479549496147
2003,4,0.5377720079129574
2003,5,0.5422464585683842
2003,6,0.5473895079504194
2003,7,0.5396579585241045
2003,8,0.5405066631481725
2003,9,0.5407768286171917
2003,10,0.5416455375253549
2003,11,0.5428463571158928
2003,12,0.5368194281237759
2004,1,0.5432980487182757
2004,2,0.5341819591625743
2004,3,0.5350440444274225
2004,4,0.5352878035690326
2004,5,0.5388973771326713
2004,6,0.5380926651357558
2004,7,0.5408247422680412
2004,8,0.5405279296093854
2004,9,0.534826212391812
2004,10,0.5375971309025702
2004,11,0.5414402173913043
2004,12,0.5388
2005,1,0.535815511466117
2005,2,0.5438559322033898
2005,3,0.5393563396665374
2005,4,0.5426894343649946
2005,5,0.5435059152779544
2005,6,0.5393856655290102
2005,7,0.5424923527064769
2005,8,0.5427417068330026
2005,9,0.5345265126218779
2005,10,0.5405439755973563
2005,11,0.5418109187749667
2005,12,0.5388401170524075
2006,1,0.5374400829122944
2006,2,0.5349802371541502
2006,3,0.5333403671660688
2006,4,0.5389589395408988
2006,5,0.5327520580685138
2006,6,0.5360718870346598
2006,7,0.5345168539325843
2006,8,0.5302922940655447
2006,9,0.5327015027322405
2006,10,0.528486186038908
2006,11,0.5373015206250525
2006,12,0.5334926151172893
2007,1,0.5355247885922733
2007,2,0.5390725436179982
2007,3,0.5315747080144986
2007,4,0.536784622105723
2007,5,0.5323779631618072
2007,6,0.5347778433521625
2007,7,0.5286861252822614
2007,8,0.5320541558325115
2007,9,0.5301032358809751
2007,10,0.5281137899391007
2007,11,0.5339987795309912
2007,12,0.5331408377865885
2008,1,0.5406537116838768
2008,2,0.5391326661534513
2008,3,0.5405470830307432
2008,4,0.5377539127539127
2008,5,0.5370152267182636
2008,6,0.5393367735386178
2008,7,0.53751617076326
2008,8,0.5367671277997365
2008,9,0.5326743996079072
2008,10,0.5261375009623528
2008,11,0.5328374157488082
2008,12,0.533660409556314
2009,1,0.5356616442843105
2009,2,0.53958881998131
2009,3,0.5371531201577687
2009,4,0.5403264522323572
2009,5,0.5420852780634443
2009,6,0.5398502495840266
2009,7,0.5379617834394904
2009,8,0.5361430395913155
2009,9,0.5394529402490935
2009,10,0.5361864470801541
2009,11,0.5399983887859502
2009,12,0.5432030820033021
2010,1,0.5414338919925512
2010,2,0.5456099854663589
2010,3,0.5385651604957278
2010,4,0.5413398692810457
2010,5,0.5453672587614018
2010,6,0.5420503123972378
2010,7,0.5418732294617564
2010,8,0.5407509949818308
2010,9,0.5388357519788918
2010,10,0.5397827835880933
2010,11,0.544415906474183
2010,12,0.5461833562856581
2011,1,0.5411533420707733
2011,2,0.5434990439770554
2011,3,0.5401478037033962
2011,4,0.5351081978988955
2011,5,0.5393485915492958
2011,6,0.5452054794520548
2011,7,0.5431794967035007
2011,8,0.5435994827864878
2011,9,0.5439311296576198
2011,10,0.5433590912092993
2011,11,0.5416833801310336
2011,12,0.5418553542887586
2012,1,0.5618202462053304
2012,2,0.5474219044034625
2012,3,0.5467119430180554
2012,4,0.5420890260026443
2012,5,0.5495213290159088
2012,6,0.5484710178000913
2012,7,0.5411922614088679
2012,8,0.5490975696926376
2012,9,0.5485291271530869
2012,10,0.5432947288667604
2012,11,0.5487447207883622
2012,12,0.5416666666666666
2013,1,0.5476694915254238
2013,2,0.5492518703241895
2013,3,0.5428876382689696
2013,4,0.5436182669789227
2013,5,0.5364387678437266
2013,6,0.5432643935159307
2013,7,0.5348010477734814
2013,8,0.5384664131812421
2013,9,0.5460203265958662
2013,10,0.5404956848860367
2013,11,0.5430983933388062
2013,12,0.5512805451127819
2014,1,0.5403496973772697
2014,2,0.5488407673296457
2014,3,0.540746934225195
2014,4,0.5406963067513526
2014,5,0.5444696539988656
2014,6,0.5442702583351733
2014,7,0.5409129537452956
2014,8,0.5384190499570394
2014,9,0.5483094491715181
2014,10,0.5488399826539462
2014,11,0.5520521718319972
2014,12,0.5562872763419483
2015,1,0.5492391861856728
2015,2,0.5529691839703743
2015,3,0.5444801714898178
2015,4,0.5541323377960865
2015,5,0.5415778251599147
2015,6,0.5467165314401623
2015,7,0.5478271886481693
2015,8,0.5528581035642233
2015,9,0.5484104919618035
2015,10,0.5402988586892575
2015,11,0.5522695126655522
2015,12,0.5562516486415194
2016,1,0.5467032967032966
2016,2,0.5546800054817048
2016,3,0.5476539589442815
2016,4,0.5549335721749515
2016,5,0.5470449867685975
2016,6,0.5434487951807229
2016,7,0.5429738562091503
2016,8,0.5523917995444191
2016,9,0.5527608401084011
2016,10,0.5509323204419889
2016,11,0.5547249907715024
2016,12,0.5569682633550167
2017,1,0.5606147934678194
2017,2,0.5643691028306413
2017,3,0.5546017699115044
2017,4,0.5555332396063467
2017,5,0.5637998875772906
2017,6,0.5549850634802092
2017,7,0.5498135874067938
2017,8,0.5524655963302753
2017,9,0.5583198489751888
2017,10,0.5527501656726309
2017,11,0.5643939393939394
2017,12,0.5672829216547962
2018,1,0.5596841952774156
2018,2,0.5572822822822823
2018,3,0.552609946568023
2018,4,0.5605662580268534
2018,5,0.5585500606387279
2018,6,0.565025421461065
2018,7,0.5598946576373213
2018,8,0.5659772326438993
2018,9,0.5535060546324979
2018,10,0.5489683990598068
2018,11,0.5529210643674743
2018,12,0.5617548879351455
2019,1,0.5486598824709761
2019,2,0.556609547123623
2019,3,0.5626954984360125
2019,4,0.5441367373431415
2019,5,0.5431472081218274
